interactant_id,polypeptide_id
BE0000121,P17752
BE0000080,Q8IWU9
BE0000228,P23381
BE0000693,P14902
BE0003532,P48775
BE0002151,P20711
BE0000178,P36021
BE0003654,Q8TF71
BE0000606,P48507
BE0000166,P48506
BE0000529,P17174
BE0000383,P00505
BE0000791,P32929
BE0000323,P35520
BE0000701,P49589
BE0001145,P16455
BE0000185,P48637
BE0002312,Q9HA77
BE0000079,Q9Y600
BE0000151,Q9Y697
BE0000569,Q16878
BE0003654,Q8TF71
BE0000157,Q9H3S4
BE0002003,P0AFG8
BE0004673,P13584
BE0000157,Q9H3S4
BE0009876,O75356
BE0009877,Q9BU02
BE0000530,P02768
BE0003647,O15244
BE0003648,O15245
BE0000106,O76082
BE0003530,O60779
BE0000963,Q9BZV2
BE0000779,P11473
BE0004902,Q06432
BE0004902,Q9Y698
BE0004902,O60359
BE0004902,Q9UBN1
BE0004902,Q9UF02
BE0004902,Q9BXT2
BE0004902,P62955
BE0004902,Q8WXS5
BE0004902,P54289
BE0004902,Q9NY47
BE0004902,Q8IZS8
BE0004902,Q7Z3S7
BE0004902,Q13936
BE0004902,Q01668
BE0004902,O60840
BE0004902,Q13698
BE0004902,Q02641
BE0004902,Q08289
BE0004902,P54284
BE0004902,O00305
BE0004902,Q00975
BE0004902,O00555
BE0004902,Q15878
BE0004902,O43497
BE0004902,O95180
BE0004902,Q9P0X4
BE0009671,Q96AT9
BE0003537,P05108
BE0002250,Q07973
BE0000443,O15528
BE0000549,Q02318
BE0000524,Q6VVX0
BE0001141,P02774
BE0000262,P35354
BE0000017,P23219
BE0001821,O15540
BE0000263,P29474
BE0000671,P00966
BE0000766,O94760
BE0000306,P00480
BE0000067,P29475
BE0000005,P35228
BE0001092,Q9UM07
BE0001066,Q4U2R8
BE0000234,P26639
BE0002317,Q9BW92
BE0001755,Q47066
BE0003654,Q8TF71
BE0000196,P03897
BE0000645,O60701
BE0000227,P07327
BE0000299,Q00796
BE0000360,P08319
BE0000465,P00326
BE0000400,P00325
BE0000522,P40394
BE0000208,P21695
BE0000297,Q6ZMR3
BE0000009,P11766
BE0000747,P15121
BE0000317,Q99714
BE0000780,P40926
BE0000425,P00338
BE0000148,P23368
BE0000408,P51659
BE0000100,Q9BYZ2
BE0000149,P07864
BE0000068,P07195
BE0000586,Q08426
BE0000377,Q16836
BE0000328,Q16798
BE0000175,Q02338
BE0000589,P40925
BE0000128,P31937
BE0000336,P37058
BE0000574,P04035
BE0000604,P48163
BE0000161,O43175
BE0000184,P56937
BE0000771,P51553
BE0000559,O43837
BE0000011,P50213
BE0000194,P14061
BE0000006,P37059
BE0000570,Q92781
BE0000357,O95479
BE0000578,Q92506
BE0000438,P17516
BE0000722,P12268
BE0000592,P42330
BE0000552,P15428
BE0000662,Q13630
BE0000126,Q04828
BE0000329,P28845
BE0000059,P26439
BE0000051,P14060
BE0000761,P20839
BE0000260,P40939
BE0000133,P05091
BE0000131,P80365
BE0000622,P52895
BE0000044,Q15738
BE0000193,P48448
BE0000231,Q02252
BE0000718,P30838
BE0000554,P00352
BE0000720,O14556
BE0000287,P49189
BE0000583,P47895
BE0000479,P30837
BE0000446,P43353
BE0000542,P04406
BE0000513,O94788
BE0000600,P51648
BE0000152,P51649
BE0000135,P49419
BE0000595,P30043
BE0000728,Q96C36
BE0000225,P32322
BE0000180,P00367
BE0000098,P11177
BE0000609,P29803
BE0000571,P08559
