reaction_id,drugbank_id,sequence,left_element_id,left_element_name,right_element_id,right_element_name,enzymes
3534,DB11703,1,DB11703,Acalabrutinib,DBMET02889,Acalabrutinib M37 Metabolite,
3535,DB11703,1,DB11703,Acalabrutinib,DBMET02890,Acalabrutinib M14 Metabolite (ACP-5825),
3536,DB11703,2,DBMET02878,Acalabrutinib M27 Metabolite (ACP-5862),DBMET02879,Acalabrutinib M16 Metabolite,
3537,DB11703,2,DBMET02878,Acalabrutinib M27 Metabolite (ACP-5862),DBMET02880,Acalabrutinib M3 Metabolite,
3538,DB11703,2,DBMET02878,Acalabrutinib M27 Metabolite (ACP-5862),DBMET02881,Acalabrutinib M2 Metabolite,
3539,DB11703,2,DBMET02882,Acalabrutinib M23 Metabolite (ACP-5134),DBMET02883,Acalabrutinib M45 Metabolite,
3540,DB11703,2,DBMET02882,Acalabrutinib M23 Metabolite (ACP-5134),DBMET02884,Acalabrutinib M24 Metabolite,
3541,DB11703,2,DBMET02885,Acalabrutinib M5 Metabolite (ACP-5530),DBMET02886,Acalabrutinib M7 Metabolite (ACP-5531),
3542,DB11703,3,DBMET02886,Acalabrutinib M7 Metabolite (ACP-5531),DBMET02887,Acalabrutinib M10 Metabolite (ACP-5461),
3543,DB11712,1,DB11712,Tezacaftor,DBMET02579,"M1 Metabolite, Tezacaftor",BE0002362|Cytochrome P450 3A5|P20815||BE0002638|Cytochrome P450 3A4|P08684
3544,DB11712,1,DB11712,Tezacaftor,DBMET02580,"M2 Metabolite, Tezacaftor",BE0002362|Cytochrome P450 3A5|P20815||BE0002638|Cytochrome P450 3A4|P08684
